state,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases
AC,189,727896,70285,48443368,157.321,"12,620.250",0.012
AL,813,2531725,93096,110979427,147.072,"6,829.216",0.024
AM,583,5185533,191051,214079768,203.648,"15,943.121",0.014
AP,143,778283,55535,60822229,127.902,"19,518.394",0.007
BA,3724,10936283,498205,580215716,150.577,"9,439.764",0.017
CE,3261,9875688,480846,469914789,219.275,"14,083.195",0.017
DF,730,4256653,368252,277194950,376.885,"24,542.936",0.016
ES,1636,5277609,681272,401628650,324.102,"27,328.428",0.013
GO,3071,9756414,876082,534927771,330.221,"21,273.492",0.018
MA,657,3968295,117448,162112904,103.799,"6,115.357",0.023
MG,7788,22562867,1855437,1283214890,227.402,"15,007.689",0.017
MS,1174,3858480,212694,196195400,275.697,"16,070.232",0.018
MT,1215,5358688,304817,277347830,340.267,"20,866.793",0.018
PA,1862,6704885,235523,285369781,165.174,"8,954.933",0.024
PB,929,3735110,235792,223915303,176.694,"13,625.128",0.015
PE,2132,7949533,477254,348309201,163.036,"8,946.928",0.023
PI,752,2841243,79063,138825459,171.749,"9,126.878",0.025
PR,4829,16001809,1262911,921486662,330.019,"23,069.973",0.016
RJ,7041,26979214,1348554,827140934,324.085,"15,081.826",0.028
RN,1117,3010432,195266,188818898,180.996,"15,311.808",0.013
RO,665,2633577,187047,150996023,317.824,"22,664.013",0.015
RR,102,785143,52159,59507246,222.248,"15,980.617",0.015
RS,5064,14513456,1388454,894621782,278.111,"20,515.622",0.015
SC,2397,7987708,712618,637605918,278.620,"22,271.206",0.014
SE,425,2317114,79751,120589375,207.089,"10,161.261",0.022
SP,22206,62025133,1859225,2049724699,341.274,"15,356.562",0.027
TO,269,1515327,124009,116262773,236.433,"17,691.972",0.014
